year_created,n_alerts,escalation_rate,sar_rate
2008,49,0,0
2009,607,0,0
2010,314,0.0031847133757961785,0
2011,190,0,0
2012,194,0.1134020618556701,0
2013,542,0.02214022140221402,0
2014,619,0.035541195476575124,0
2015,937,0.0010672358591248667,0
2016,1444,0.018698060941828253,6.925207756232687e-4
2017,1137,0.01759014951627089,0.0158311345646438
2018,834,0.014388489208633094,0.014388489208633094
2019,910,0.014285714285714285,0.01098901098901099
2020,808,0.006188118811881188,0
2021,1513,0.02775941837409121,0.0039656311962987445
